1, Liam Smith, M, 28, USA, Boston, 02:23:45
871, Ayleen Murray, F, 732, Italy, Cosenza, 09:28:33
872, Cristian Freeman, M, 736, USA, Glendale, 09:37:30
873, Mckinley Wells, F, 734, Mexico, Ciudad Mante, 09:36:48
874, Zyaire Webb, M, 738, UK, Eastbourne, 09:45:46
875, Laylah Simpson, F, 736, Canada, Nelson, 09:45:04
876, Marcellus Tucker, M, 740, Germany, Celle, 09:54:03
877, Annabella Porter, F, 738, France, Clermont-Ferrand, 09:53:21
878, Kacen Hicks, M, 742, Australia, Warrnambool, 10:02:21
879, Veronica Crawford, F, 740, Spain, Silla, 10:01:39
880, Kyree Henry, M, 744, Italy, Catanzaro, 10:10:40
881, Emory Boyd, F, 742, USA, Fresno, 10:09:58
882, Kenji Mason, M, 746, Mexico, Macuspana, 10:19:00
883, Emmy Morales, F, 744, UK, Nuneaton, 10:18:18
884, Cassian Kennedy, M, 748, Canada, Dawson Creek, 10:27:21
885, Arleth Butler, F, 746, Germany, Kempten, 10:26:39
886, Boston Bell, M, 750, France, Saintes, 10:35:43
887, Ariella Dixon, F, 748, Australia, Devonport, 10:35:01
888, Zaire Fisher, M, 752, Spain, Villajoyosa, 10:44:06
889, Ariyah Reyes, F, 750, Italy, Aversa, 10:43:24
890, Aryan Ellis, M, 754, USA, Lubbock, 10:52:30
891, Braelyn Edwards, F, 752, Mexico, Ciudad Delicias, 10:51:48
892, Armani Collins, M, 756, UK, Morecambe, 11:00:55
893, Aliana Richardson, F, 754, Canada, Stouffville, 11:00:13
894, Kye Stewart, M, 758, Germany, Kaiserslautern, 11:09:21
895, Madalynn Morris, F, 756, France, Vichy, 11:08:39
896, Eliezer Rogers, M, 760, Australia, Port Augusta, 11:17:48
897, Helena Reed, F, 758, Spain, Viladecans, 11:17:06
898, Azael Cook, M, 762, Italy, Lamezia Terme, 11:26:16
899, Jream Morgan, F, 760, USA, Irving, 11:25:34
900, Kolton Bell, M, 764, Mexico, Ciudad Altamirano, 11:34:45
901, Promise Murphy, F, 762, UK, Dudley, 11:34:03
902, Jakobe Bailey, M, 766, Canada, Owen Sound, 11:43:15
903, Estrella Rivera, F, 764, Germany, Schwabisch Gmund, 11:42:33
904, Karsen Cooper, M, 768, France, Melun, 11:51:46
905, Aviana Cox, F, 766, Australia, Shepparton, 11:51:04
906, Kasen Howard, M, 770, Spain, Torrelavega, 12:00:18
907, Kamari Ward, F, 768, Italy, Crotone, 11:59:36
908, Kyro Torres, M, 772, USA, New Orleans, 12:08:51
909, Brynlee Peterson, F, 770, Mexico, Guasave, 12:08:09
910, Kannon Gray, M, 774, UK, Wallasey, 12:17:25
911, Avianna Ramirez, F, 772, Canada, Brooks, 12:16:43
912, Lian James, M, 776, Germany, Giengen, 12:26:00
913, Anahi Watson, F, 774, France, Haguenau, 12:25:18
914, Trey Brooks, M, 778, Australia, Echuca, 12:34:36
915, Arlet Kelly, F, 776, Spain, Laredo, 12:33:54
916, Omari Sanders, M, 780, Italy, Trapani, 12:43:13
917, Elia Price, F, 778, USA, Anchorage, 12:42:31
918, Zaylen Bennett, M, 782, Mexico, Nogales, 12:51:51
919, Milana Wood, F, 780, UK, Scunthorpe, 12:51:09
920, Jax Barnes, M, 784, Canada, Sorel-Tracy, 13:00:30
921, Malayah Ross, F, 782, Germany, Sindelfingen, 12:59:48
922, Kylar Henderson, M, 786, France, Saint-Chamond, 13:09:10
923, Madilyn Coleman, F, 784, Australia, Mount Gambier, 13:08:28
924, Kace Jenkins, M, 788, Spain, Ecija, 13:17:51
925, Kaia Perry, F, 786, Italy, Anzio, 13:17:09
926, Axton Long, M, 790, USA, Garland, 13:26:33
927, Emely Patterson, F, 788, Mexico, Parral, 13:25:51
928, Kylian Hughes, M, 792, UK, Hastings, 13:35:16
929, Emeri Flores, F, 790, Canada, Cranbrook, 13:34:34
930, Eliel Washington, M, 794, Germany, Neubrandenburg, 13:44:00
931, Amina Butler, F, 792, France, Romans-sur-Isere, 13:43:18
932, Karsyn Simmons, M, 796, Australia, Port Macquarie, 13:52:45
933, Renata Foster, F, 794, Spain, Parla, 13:52:03
934, Jakobe Gonzales, M, 798, Italy, Massa, 14:01:31
935, Alianna Bryant, F, 796, USA, Colorado Springs, 14:00:49
936, Kallen Alexander, M, 800, Mexico, Tecate, 14:10:18
937, Xiomara Russell, F, 798, UK, Dunstable, 14:09:36
938, Cristian Griffin, M, 802, Canada, Whitehorse, 14:19:06
939, Alaia Diaz, F, 800, Germany, Fulda, 14:18:24
940, Randy Hayes, M, 804, France, Saint-Germain-en-Laye, 14:27:55
941, Veda Ford, F, 802, Australia, Mildura, 14:27:13
942, Emmitt Hamilton, M, 806, Spain, Pinto, 14:36:45
943, Anahi Graham, F, 804, Italy, Casoria, 14:36:03
944, Rohan Sullivan, M, 808, USA, Plano, 14:45:36
945, Idris Wallace, M, 806, Mexico, Apizaco, 14:44:54
946, Nayeli Woods, F, 810, UK, Barrow, 14:54:28
947, Kylar Cole, M, 812, Canada, Timmins, 14:53:46
948, Mckinley Murray, F, 808, Germany, Sindelfingen, 15:03:21
949, Koen Freeman, M, 814, France, Saintes, 15:02:39
950, Anya Wells, F, 810, Australia, Ballarat, 15:12:15
951, Devin Webb, M, 816, Spain, Estepona, 15:11:33
952, Emely Simpson, F, 812, Italy, Aprilia, 15:21:10
953, Karsen Tucker, M, 818, USA, Henderson, 15:20:28
954, Hallie Porter, F, 814, Mexico, Ciudad Camargo, 15:30:06
955, Edison Hicks, M, 820, UK, Southport, 15:29:24
956, Maliyah Crawford, F, 816, Canada, Corner Brook, 15:39:03
957, Kole Henry, M, 822, Germany, Offenburg, 15:38:21
958, Bailee Boyd, F, 818, France, Marne-la-Vallee, 15:48:01
959, Koa Mason, M, 824, Australia, Karratha, 15:47:19
960, Aliya Morales, F, 820, Spain, Granollers, 15:57:00
961, Jonathon Kennedy, M, 826, Italy, Aprilia, 15:56:18
962, Payton Butler, F, 822, USA, Newark, 16:06:00
963, Kristian Bell, M, 828, Mexico, Emiliano Zapata, 16:05:18
964, Mikaela Dixon, F, 824, UK, Cumbernauld, 16:15:01
965, Emilio Fisher, M, 830, Canada, Port Elgin, 16:14:19
966, Kataleya Reyes, F, 826, Germany, Ahlen, 16:24:03
967, Kacen Ellis, M, 832, France, Saint-Malo, 16:23:21
968, Galilea Edwards, F, 828, Australia, Maryborough, 16:33:06
969, Kael Collins, M, 834, Spain, Villena, 16:32:24
970, Rosalie Richardson, F, 830, Italy, Giugliano, 16:42:10
971, Zayd Stewart, M, 836, USA, Toledo, 16:41:28
972, Ayleen Morris, F, 832, Mexico, San Pedro, 16:51:15
973, Zechariah Rogers, M, 838, UK, Workington, 16:50:33
974, Arlet Reed, F, 834, Canada, Yorkton, 17:00:21
975, Karsen Cook, M, 840, Germany, Langen, 16:59:39
976, Miley Morgan, F, 836, France, Compiegne, 17:09:28
977, Rohan Bell, M, 842, Australia, Warrnambool, 17:08:46
978, Jasmin Murphy, F, 838, Spain, Aranjuez, 17:18:36
979, Jamison Bailey, M, 844, Italy, Guidonia, 17:17:54
980, Aya Rivera, F, 840, USA, St. Paul, 17:27:45
981, Sterling Cooper, M, 846, Mexico, Comitan, 17:27:03
982, Idris Cox, F, 842, UK, Loughborough, 17:36:55
983, Kyan Howard, M, 848, Canada, North Vancouver, 17:36:13
984, Salma Ward, F, 844, Germany, Weiden, 17:46:06
985, Axton Torres, M, 850, France, Henin-Beaumont, 17:45:24
986, Alaiya Peterson, F, 846, Australia, Burnie, 17:55:18
987, Kingsley Gray, M, 852, Spain, Torremolinos, 17:54:36
988, Madisyn Ramirez, F, 848, Italy, Casoria, 18:04:31
989, Kylen James, M, 854, USA, Corpus Christi, 18:03:49
990, Bridget Watson, F, 850, Mexico, Minatitlan, 18:13:45
991, Kacen Brooks, M, 856, UK, Rugby, 18:13:03
992, Alena Kelly, F, 852, Canada, Grande Prairie, 18:23:00
993, Kaden Sanders, M, 858, Germany, Lingen, 18:22:18
994, Arlet Price, F, 854, France, Six-Fours-les-Plages, 18:32:16
995, Braiden Bennett, M, 860, Australia, Whyalla, 18:31:34
996, Elliana Wood, F, 856, Spain, Rivas-Vaciamadrid, 18:41:33
997, Kyng Barnes, M, 862, Italy, Guidonia, 18:40:51
998, Lilyana Ross, F, 858, USA, Jersey City, 18:50:51
999, Kaelen Henderson, M, 864, Mexico, Xalapa, 18:50:09
1000, Viviana Coleman, F, 860, UK, Basildon, 19:00:10
1001, Kylan Jenkins, M, 866, Canada, Brockville, 18:59:28
1002, Maren Perry, F, 862, Germany, Eschweiler, 19:09:29
1003, Kael Long, M, 868, France, Schiltigheim, 19:08:47
1004, Lainey Patterson, F, 864, Australia, Gladstone, 19:18:49
1005, Kashton Hughes, M, 870, Spain, Coslada, 19:18:07
1006, Giavanna Flores, F, 866, Italy, Crotone, 19:28:10
1007, Kyson Washington, M, 872, USA, Chandler, 19:27:28
1008, Maliah Butler, F, 868, Mexico, Ciudad Valles, 19:37:32
1009, Kylian Simmons, M, 874, UK, Gosport, 19:36:50
1010, Elora Foster, F, 870, Canada, Drummondville, 19:46:55
1011, Kairo Gonzales, M, 876, Germany, Limburg, 19:46:13
1012, Aya Bryant, F, 872, France, Saint-Martin-d'Heres, 19:56:19
1013, Jamir Alexander, M, 878, Australia, Orange, 19:55:37
1014, Briar Russell, F, 874, Spain, Majadahonda, 20:05:44
1015, Kacen Griffin, M, 880, Italy, Mariano Comense, 20:05:02
1016, Alisson Diaz, F, 876, USA, Reno, 20:15:10
1017, Ayan Hayes, M, 882, Mexico, Tulancingo, 20:14:28
1018, Kenna Ford, F, 878, UK, Peterlee, 20:24:37
1019, Kylar Hamilton, M, 884, Canada, New Glasgow, 20:23:55
1020, Dayana Graham, F, 880, Germany, Stade, 20:34:05
1021, Elian Sullivan, M, 886, France, Beaune, 20:33:23
1022, Aubriella Wallace, F, 882, Australia, Devonport, 20:43:34
1023, Kameron Woods, M, 888, Spain, Mislata, 20:42:52
1024, Janiyah Cole, F, 884, Italy, Afragola, 20:53:04
1025, Kannon Murray, M, 890, USA, Baton Rouge, 20:52:22
1026, Briella Freeman, F, 886, Mexico, Tula, 21:02:35
1027, Kamdyn Wells, M, 892, UK, Stafford, 21:01:53
1028, Ariella Webb, F, 888, Canada, Miramichi, 21:12:07
1029, Kylen Simpson, M, 894, Germany, Dorsten, 21:11:25
1030, Lorelei Tucker, F, 890, France, Oyonnax, 21:21:40
1031, Kace Porter, M, 896, Australia, Burnie, 21:20:58
1032, Paola Hicks, F, 892, Spain, Mijas, 21:31:14
1033, Kyson Crawford, M, 898, Italy, Altamura, 21:30:32
1034, Alora Henry, F, 894, USA, Hialeah, 21:40:49
1035, Kael Boyd, M, 900, Mexico, Xalapa, 21:40:07
1036, Avianna Mason, F, 896, UK, Hinckley, 21:50:25
1037, Karsen Morales, F, 898, Canada, Stratford, 21:49:43
1038, Zev Kennedy, M, 902, Germany, Herne, 22:00:02
1039, Nalani Butler, F, 900, France, Romans-sur-Isere, 21:59:20
1040, Koda Bell, M, 904, Australia, Shepparton, 22:09:40
1041, Jaslyn Dixon, F, 902, Spain, Olesa, 22:08:58
1042, Kole Fisher, M, 906, Italy, Molfetta, 22:19:19
1043, Briella Reyes, F, 904, USA, Aurora, 22:18:37
1044, Kiaan Ellis, M, 908, Mexico, Fresnillo, 22:28:59
1045, Emersyn Edwards, F, 906, UK, Cheltenham, 22:28:17
1046, Axton Collins, M, 910, Canada, Moose Jaw, 22:38:40
1047, Maleah Richardson, F, 908, Germany, Gutersloh, 22:37:58
1048, Kylen Stewart, M, 912, France, Cagnes-sur-Mer, 22:48:22
1049, Nala Morris, F, 910, Australia, Warrnambool, 22:47:40
1050, Kace Rogers, M, 914, Spain, Catarroja, 22:58:05
1051, Ayleen Reed, F, 912, Italy, Casoria, 22:57:23
1052, Kaelen Cook, M, 916, USA, Spokane, 23:07:49
1053, Raelyn Morgan, F, 914, Mexico, Ciudad Lopez Mateos, 23:07:07
1054, Kyan Bell, M, 918, UK, Farnborough, 23:17:34
1055, Ensley Murphy, F, 916, Canada, Leduc, 23:16:52
1056, Azael Bailey, M, 920, Germany, Wesel, 23:27:20
1057, Salem Rivera, F, 918, France, Orange, 23:26:38
1058, Krew Cooper, M, 922, Australia, Port Augusta, 23:37:07
1059, Kenzie Cox, F, 920, Spain, Paterna, 23:36:25
1060, Kairo Howard, M, 924, Italy, Cinisello Balsamo, 23:46:55
1061, Mckinley Ward, F, 922, USA, Fort Lauderdale, 23:46:13
1062, Kannon Torres, M, 926, Mexico, Ciudad Acuna, 23:56:44
1063, Lina Peterson, F, 924, UK, Fleetwood, 23:56:02
1064, Kason Gray, M, 928, Canada, Whitecourt, 00:06:34
1065, Amira Ramirez, F, 926, Germany, Marburg, 00:05:52
1066, Kylen James, M, 930, France, Draguignan, 00:16:25
1067, Amaya Watson, F, 928, Australia, Goulburn, 00:15:43
1068, Kase Brooks, M, 932, Spain, Alcoy, 00:26:17
1069, Gracelynn Kelly, F, 930, Italy, Ercolano, 00:25:35
1070, Karsen Sanders, M, 934, USA, Santa Clarita, 00:36:10
1071, Nia Price, F, 932, Mexico, Salina Cruz, 00:35:28
1072, Kylan Bennett, M, 936, UK, Gillingham, 00:46:04
1073, Aria Wood, F, 934, Canada, Parksville, 00:45:22
1074, Kacen Barnes, M, 938, Germany, Pinneberg, 00:55:59
1075, Tessa Ross, F, 936, France, Castres, 00:55:17
1076, Karsyn Henderson, M, 940, Australia, Tamworth, 01:05:55
1077, Paityn Coleman, F, 938, Spain, Guadalajara, 01:05:13
1078, Kyro Jenkins, M, 942, Italy, Aprilia, 01:15:52
1079, Annika Perry, F, 940, USA, Lubbock, 01:15:10
1080, Kaelen Long, M, 944, Mexico, Tepic, 01:25:50
1081, Madilynn Patterson, F, 942, UK, Keighley, 01:25:08
1082, Kairo Hughes, M, 946, Canada, Charlottetown, 01:35:49
1083, Elena Flores, F, 944, Germany, Neuwied, 01:35:07
1084, Karsen Washington, M, 948, France, Maubeuge, 01:45:49
1085, Kaylani Butler, F, 946, Australia, Mount Barker, 01:45:07
1086, Kace Simmons, M, 950, Spain, Castelldefels, 01:55:50
1087, Alianna Foster, F, 948, Italy, Terracina, 01:55:08
1088, Kylen Gonzales, M, 952, USA, Chesapeake, 02:05:52
1089, Angelica Bryant, F, 950, Mexico, Ciudad Delicias, 02:05:10
1090, Kase Alexander, M, 954, UK, Crosby, 02:15:55
1091, Annalise Russell, F, 952, Canada, Port Alberni, 02:15:13
1092, Krew Griffin, M, 956, Germany, Kornwestheim, 02:25:59
1093, Jillian Diaz, F, 954, France, Saint-Priest, 02:25:17
1094, Kaison Hayes, M, 958, Australia, Gladstone, 02:36:04
1095, Madalyn Ford, F, 956, Spain, San Feliu, 02:35:22
1096, Kylan Hamilton, M, 960, Italy, Casoria, 02:46:10
1097, Liana Graham, F, 958, USA, Chandler, 02:45:28
1098, Kacen Sullivan, M, 962, Mexico, Minatitlan, 02:56:17
1099, Ivory Wallace, F, 960, UK, Welwyn Garden City, 02:55:35
1100, Kyan Woods, M, 964, Canada, Fort St. John, 03:06:25
1101, Hattie Cole, F, 962, Germany, Neu-Ulm, 03:05:43
1102, Kason Murray, M, 966, France, Thionville, 03:16:34
1103, Rayna Freeman, F, 964, Australia, Burnie, 03:15:52
1104, Kole Wells, M, 968, Spain, Sardañola, 03:26:44
1105, Lylah Webb, F, 966, Italy, Formia, 03:26:02
1106, Kyson Simpson, M, 970, USA, Fort Wayne, 03:36:55
1107, Milani Tucker, F, 968, Mexico, Ciudad Madero, 03:36:13
1108, Kael Porter, M, 972, UK, Woking, 03:47:07
1109, Xiomara Hicks, F, 970, Canada, Parksville, 03:46:25
1110, Kylar Crawford, M, 974, Germany, Reinbek, 03:57:20
1111, Allyson Henry, F, 972, France, Meyzieu, 03:56:38
1112, Karsen Boyd, M, 976, Australia, Port Macquarie, 04:07:34
1113, Ariah Mason, F, 974, Spain, Barbera, 04:06:52
1114, Kaelen Morales, M, 978, Italy, Porto Torres, 04:17:49
1115, Novalee Kennedy, F, 976, USA, Greensboro, 04:17:07
1116, Kole Butler, M, 980, Mexico, Cuautitlan, 04:28:05
1117, Amira Bell, F, 978, UK, Royal Leamington Spa, 04:27:23
1118, Kyan Dixon, M, 982, Canada, Brandon, 04:38:22
1119, Maren Fisher, F, 980, Germany, Ettlingen, 04:37:40
1120, Kacen Reyes, M, 984, France, Le Blanc-Mesnil, 04:48:40
1121, Lillianna Ellis, F, 982, Australia, Nowra, 04:47:58
1122, Kayson Edwards, M, 986, Spain, San Andres, 04:58:59
1123, Marleigh Collins, F, 984, Italy, Teramo, 04:58:17
1124, Kael Richardson, M, 988, USA, Lincoln, 05:09:19
1125, Brittany Stewart, F, 986, Mexico, Ciudad Guzman, 05:08:37
1126, Kole Morris, M, 990, UK, High Wycombe, 05:19:40
1127, Kara Rogers, F, 988, Canada, Steinbach, 05:18:58
1128, Kylan Reed, M, 992, Germany, Goslar, 05:30:02
1129, Noelle Cook, F, 990, France, Montigny-les-Cormeilles, 05:29:20
1130, Kacen Morgan, M, 994, Australia, Karratha, 05:40:25
1131, Maggie Bell, F, 992, Spain, Silla, 05:39:43
1132, Karsyn Murphy, M, 996, Italy, Acerra, 05:50:49
1133, Kynlee Bailey, F, 994, USA, Plano, 05:50:07
1134, Kye Rivera, M, 998, Mexico, Ciudad Juarez, 06:01:14
1135, Roselyn Cooper, F, 996, UK, South Shields, 06:00:32
1136, Kyson Cox, M, 1000, Canada, Duncan, 06:11:40
1137, Aliya Howard, F, 998, Germany, Heidenheim, 06:10:58
1138, Kael Ward, M, 1002, France, Chaumont, 06:22:07
1139, Aylin Torres, F, 1000, Australia, Busselton, 06:21:25
1140, Koda Peterson, M, 1004, Spain, San Vicente, 06:32:35
1141, Anahi Gray, F, 1002, Italy, Casarano, 06:31:53
1142, Karsen Ramirez, M, 1006, USA, Orlando, 06:43:04
1143, Ayleen James, F, 1004, Mexico, Ciudad Obregon, 06:42:22
1144, Kace Watson, M, 1008, UK, Horsham, 06:53:34
1145, Ailani Brooks, F, 1006, Canada, North Bay, 06:52:52
1146, Kylen Kelly, M, 1010, Germany, Menden, 07:04:05
1147, Nadia Sanders, F, 1008, France, Frontignan, 07:03:23
1148, Kaison Price, M, 1012, Australia, Gladstone, 07:14:37
1149, Lexi Bennett, F, 1010, Spain, Majadahonda, 07:13:55
1150, Kole Wood, M, 1014, Italy, Afragola, 07:25:10
1151, Raegan Barnes, F, 1012, USA, Bakersfield, 07:24:28
1152, Kyan Ross, M, 1016, Mexico, Ciudad Mante, 07:35:44
1153, Malia Henderson, F, 1014, UK, Hove, 07:35:02
1154, Kaelen Coleman, F, 1018, Canada, Cranbrook, 07:46:19
1155, Zayd Jenkins, M, 1020, Germany, Buchholz, 07:45:37
1156, Amayah Perry, F, 1016, France, Chenove, 07:56:55
1157, Karson Long, M, 1022, Australia, Orange, 07:56:13
1158, Mylah Patterson, F, 1018, Spain, Siero, 08:07:32
1159, Kacen Hughes, M, 1024, Italy, Velletri, 08:06:50
1160, Emely Flores, F, 1020, USA, Durham, 08:18:10
1161, Kael Washington, M, 1026, Mexico, San Juan del Rio, 08:17:28
1162, Daleyza Butler, F, 1022, UK, Weymouth, 08:28:49
1163, Kyler Simmons, M, 1028, Canada, Campbell River, 08:28:07
1164, Ariella Foster, F, 1024, Germany, Schorndorf, 08:39:29
1165, Kayson Gonzales, M, 1030, France, Saint-Sebastien-sur-Loire, 08:38:47
1166, Blakely Bryant, F, 1026, Australia, Port Pirie, 08:50:10
1167, Kaelen Alexander, M, 1032, Spain, Dos Hermanas, 08:49:28
1168, Pearl Russell, F, 1028, Italy, Sciacca, 09:00:52
1169, Kacen Griffin, M, 1034, USA, Buffalo, 09:00:10
1170, Kynlee Diaz, F, 1030, Mexico, Cuautitlan, 09:11:35
1171, Kole Hayes, M, 1036, UK, Lowestoft, 09:10:53
1172, Elina Ford, F, 1032, Canada, Oshawa, 09:22:19
1173, Kyan Hamilton, M, 1038, Germany, Gummersbach, 09:21:37
1174, Kennedi Graham, F, 1034, France, Le Creusot, 09:33:04
1175, Kace Sullivan, M, 1040, Australia, Devonport, 09:32:22
1176, Avah Wallace, F, 1036, Spain, Sardañola, 09:43:50
1177, Kaelen Woods, M, 1042, Italy, Corato, 09:43:08
1178, Maren Cole, F, 1038, USA, Stockton, 09:54:37
1179, Kase Murray, M, 1044, Mexico, Ciudad Juarez, 09:53:55
1180, Kenzie Freeman, F, 1040, UK, Rhyl, 10:05:25
1181, Kylen Wells, M, 1046, Canada, Fredericton, 10:04:43
1182, Sariah Webb, F, 1042, Germany, Rastatt, 10:16:14
1183, Kason Simpson, M, 1048, France, La Garde, 10:15:32
1184, Lina Tucker, F, 1044, Australia, Traralgon, 10:27:04
1185, Kole Porter, M, 1050, Spain, Basauri, 10:26:22
1186, Lorelei Hicks, F, 1046, Italy, Pomigliano d'Arco, 10:37:55
1187, Kairo Crawford, M, 1052, USA, Winston-Salem, 10:37:13
1188, Lucille Henry, F, 1048, Mexico, Tehuacan, 10:48:47
1189, Karsyn Boyd, M, 1054, UK, Scarborough, 10:48:05
1190, Ariah Mason, F, 1050, Canada, Yorkton, 10:59:40
1191, Kaelen Morales, M, 1056, Germany, Grevenbroich, 10:58:58
1192, Millie Kennedy, F, 1052, France, Salon-de-Provence, 11:10:34
1193, Kole Butler, M, 1058, Australia, Warrnambool, 11:09:52
1194, Zariyah Bell, F, 1054, Spain, Torrent, 11:21:29
1195, Kyan Dixon, M, 1060, Italy, Sant’Antimo, 11:20:47
1196, Ayleen Fisher, F, 1056, USA, Garland, 11:32:25
1197, Kaelen Reyes, M, 1062, Mexico, Emiliano Zapata, 11:31:43
1198, Madelynn Ellis, F, 1058, UK, Bridgend, 11:43:22
1199, Kole Edwards, M, 1064, Canada, Sarnia, 11:42:40
1200, Saige Collins, F, 1060, Germany, Werder, 11:54:20
1201, Kason Richardson, M, 1066, France, Epinal, 11:53:38
1202, Leilany Stewart, F, 1062, Australia, Goulburn, 12:05:19
1203, Kaelen Morris, M, 1068, Spain, Blanes, 12:04:37
1204, Emersyn Rogers, F, 1064, Italy, Cava de' Tirreni, 12:16:19
1205, Kole Reed, M, 1070, USA, Boise, 12:15:37
1206, Ivanna Cook, F, 1066, Mexico, Tulancingo, 12:27:20
1207, Karsen Morgan, M, 1072, UK, Kettering, 12:26:38
1208, Iliana Bell, F, 1068, Canada, Quesnel, 12:38:22
1209, Kyan Murphy, M, 1074, Germany, Meerbusch, 12:37:40
1210, Zola Bailey, F, 1070, France, Aix-les-Bains, 12:49:25
1211, Kaelen Rivera, M, 1076, Australia, Shepparton, 12:48:43
1212, Annalise Cooper, F, 1072, Spain, Olesa, 13:00:29
1213, Kole Cox, M, 1078, Italy, Casarano, 12:59:47
1214, Nalani Howard, F, 1074, USA, Spokane, 13:11:34
1215, Karsen Ward, M, 1080, Mexico, Ciudad Valles, 13:10:52
1216, Lylah Torres, F, 1076, UK, Stafford, 13:22:40
1217, Kaelen Peterson, M, 1082, Canada, Charlottetown, 13:21:58
1218, Selah Gray, F, 1078, Germany, Illertissen, 13:33:47
1219, Kole Ramirez, M, 1084, France, Saint-Dizier, 13:33:05
1220, Mikaela James, F, 1080, Australia, Orange, 13:44:55
1221, Kason Watson, M, 1086, Spain, Villajoyosa, 13:44:13
1222, Makenzie Brooks, F, 1082, Italy, Crotone, 13:56:04
1223, Kaelen Kelly, M, 1088, USA, Garland, 13:55:22
1224, Camila Sanders, F, 1084, Mexico, Ciudad Guzman, 14:07:14
1225, Kole Price, M, 1090, UK, Macclesfield, 14:06:32
1226, Brielle Bennett, F, 1086, Canada, Moose Jaw, 14:18:25
1227, Karsyn Wood, M, 1092, Germany, Rottweil, 14:17:43
1228, Alena Barnes, F, 1088, France, Carcassonne, 14:29:37
1229, Kaelen Ross, M, 1094, Australia, Burnie, 14:28:55
1230, Milena Henderson, F, 1090, Spain, Laredo, 14:40:50
1231, Kole Coleman, M, 1096, Italy, Corigliano, 14:40:08
1232, Aya Jenkins, F, 1092, USA, Bakersfield, 14:52:04
1233, Kason Perry, M, 1098, Mexico, Tehuacan, 14:51:22
1234, Evangeline Long, F, 1094, UK, Widnes, 15:03:19
1235, Kaelen Patterson, M, 1100, Canada, Portage la Prairie, 15:02:37
1236, Jaslyn Hughes, F, 1096, Germany, Kirchheim, 15:14:35
1237, Kole Flores, M, 1102, France, Montelimar, 15:13:53
1238, Brynlee Washington, F, 1098, Australia, Mount Gambier, 15:25:52
1239, Kason Butler, M, 1104, Spain, Aranjuez, 15:25:10
1240, Kataleya Simmons, F, 1100, Italy, Afragola, 15:37:10
1241, Kaelen Foster, M, 1106, USA, Norfolk, 15:36:28
1242, Emberlynn Gonzales, F, 1102, Mexico, Ciudad Madero, 15:48:29
1243, Kole Bryant, M, 1108, UK, Lowestoft, 15:47:47
1244, Alianna Alexander, F, 1104, Canada, New Glasgow, 15:59:49
1245, Karsen Russell, M, 1110, Germany, Rheda-Wiedenbruck, 15:59:07
1246, Amira Griffin, F, 1106, France, Mont-de-Marsan, 16:11:10
1247, Kaelen Diaz, M, 1112, Australia, Devonport, 16:10:28
1248, Saylor Hayes, F, 1108, Spain, Sant Just Desvern, 16:22:32
1249, Kole Ford, M, 1114, Italy, Pomezia, 16:21:50
1250, Raelynn Hamilton, F, 1110, USA, Lubbock, 16:33:55
1251, Kason Graham, M, 1116, Mexico, Teziutlan, 16:33:13
1252, Anahi Sullivan, F, 1112, UK, Fleetwood, 16:45:19
1253, Kaelen Wallace, M, 1118, Canada, Drummondville, 16:44:37
1254, Ayleen Woods, F, 1114, Germany, Rendsburg, 16:56:44
1255, Kole Cole, M, 1120, France, Montargis, 16:56:02
1256, Janiyah Murray, F, 1116, Australia, Karratha, 17:08:10
1257, Karsen Freeman, M, 1122, Spain, Silla, 17:07:28
1258, Giana Wells, F, 1118, Italy, Casarano, 17:19:37
1259, Kaelen Webb, M, 1124, USA, Toledo, 17:18:55
1260, Melany Simpson, F, 1120, Mexico, Tula, 17:31:05
1261, Kole Tucker, M, 1126, UK, Ellesmere Port, 17:30:23
1262, Kalani Porter, F, 1122, Canada, Corner Brook, 17:42:34
1263, Kason Hicks, M, 1128, Germany, Geesthacht, 17:41:52
1264, Amaris Crawford, F, 1124, France, Vienne, 17:54:04
1265, Kaelen Henry, M, 1130, Australia, Gladstone, 17:53:22
1266, Skye Boyd, F, 1126, Spain, Arrecife, 18:05:35
1267, Kole Mason, M, 1132, Italy, Lamezia Terme, 18:04:53
1268, Miah Morales, F, 1128, USA, Riverside, 18:17:07
1269, Karsen Kennedy, M, 1134, Mexico, Tepic, 18:16:25
1270, Zariyah Butler, F, 1130, UK, Gosport, 18:28:40
1271, Kaelen Bell, M, 1136, Canada, Timmins, 18:27:58
1272, Mara Dixon, F, 1132, Germany, Haren, 18:40:14
1273, Kole Fisher, M, 1138, France, Saint-Sebastien-sur-Loire, 18:39:32
1274, Maliyah Reyes, F, 1134, Australia, Whyalla, 18:51:49
1275, Kason Ellis, M, 1140, Spain, Castelldefels, 18:51:07
1276, Lina Edwards, F, 1136, Italy, Guidonia, 19:03:25
1277, Kaelen Collins, M, 1142, USA, Newark, 19:02:43
1278, Siena Richardson, F, 1138, Mexico, Ciudad Valles, 19:15:02
1279, Kole Stewart, M, 1144, UK, Scunthorpe, 19:14:20
1280, Kelly Morris, F, 1140, Canada, Summerside, 19:26:40
1281, Karsyn Rogers, M, 1146, Germany, Schwabisch Hall, 19:25:58
1282, Alaia Reed, F, 1142, France, Orvault, 19:38:19
1283, Kaelen Cook, M, 1148, Australia, Shepparton, 19:37:37
1284, Rylie Morgan, F, 1144, Spain, San Fernando, 19:49:59
